,track_genre,index,popularity,duration_ms,explicit,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster_x,PC1,PC2,PCA_EuclidianDist(Xsign),1th_Boundary
0,mpb,0,66,151565,False,0.765,0.497,1,-7.806,0.0402,0.492,0.366,0.143,0.457,112.195,38,0.31781710117795925,-0.46090161338672697,0.7313320433377911,1
1,mpb,1,65,89293,False,0.72,0.422,1,-13.338,0.069,0.474,0.0847,0.155,0.546,112.219,38,0.5066953266546275,-0.4514294082258353,0.8811221981042591,1
2,mpb,2,49,259066,False,0.632,0.651,7,-8.658,0.0401,0.756,3.99e-06,0.726,0.652,119.567,20,0.5532001966331141,0.08489519582194593,0.8076742846872864,1
3,mpb,3,49,216446,False,0.61,0.42,4,-10.889,0.0462,0.815,0.0,0.123,0.553,96.313,45,0.6724298750209767,-0.2238543813377269,0.949203696987802,1
4,mpb,4,50,273906,False,0.58,0.33,7,-13.703,0.0295,0.596,1.44e-06,0.0849,0.373,136.408,30,0.5465213432237018,0.038316855761776236,0.797442431556259,1
5,mpb,5,49,244426,False,0.357,0.469,0,-11.003,0.043,0.848,0.000239,0.924,0.263,168.139,16,0.4625160941848243,-0.6202809127564807,0.9446838599247953,1
6,mpb,6,49,112052,False,0.819,0.438,11,-10.611,0.303,0.378,0.0,0.37,0.809,130.099,24,0.5155824307517111,0.5167830926452049,0.9236780949657954,1
7,mpb,7,50,231866,False,0.581,0.721,9,-9.86,0.0441,0.612,0.000358,0.648,0.67,105.843,20,0.45752462827673984,0.27831845706974656,0.7602974833338745,1
8,mpb,8,51,200826,False,0.492,0.794,5,-5.823,0.046,0.196,2.62e-06,0.873,0.683,167.815,25,0.1021224914771061,0.010998430202679876,0.352294215778471,1
9,mpb,9,52,207533,False,0.633,0.551,11,-12.294,0.0427,0.00731,0.123,0.144,0.427,94.946,31,0.1290733596012943,0.4715681966167423,0.6050398135823615,1
